p_value,N,comparison,test,measure
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.0,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.5431200214053204e-44,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
0.6666666666666666,2,HD_control_HD_tax1,MannWhitneyU,Cell body perimeter microns
0.3333333333333333,2,HD_control_HD_tax1,MannWhitneyU,Cell body axis ratio
1.2274647249857577e-15,2,HD_control_HD_tax1,ChiSquared,protrusion_binary
1.0,2,HD_control_HD_tax1,MannWhitneyU,Cell body size microns
